document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
0,To see how accurate the students can be with each of the graphs and if they do better at looking at the screen and guessing or in person.,0.08470557044178,0.6083815138474449,0.04936034180138443,0.07473380059598268,0.06928626848073058,0.057919934440713826,0.055612570391963566
1,I think the purpose was to determine is we could imagine the depth online.,2.1162661711676017e-308,9.387726808817953e-309,1.0,9.714730551005354e-309,1.708738585543163e-308,7.78138351368474e-309,2.358594491102916e-308
2,The purpose of the experiment was to determine how different people read graphs.,0.11334709311621402,0.12328642507775485,0.08279692588342714,0.1312865500681672,0.15584009110762956,0.0843149612932174,0.08575696580443197
3,I think the purpose of the experiment was to see how our eyes could judge certain sizes or percentages with our naked eye. It was to find statistics on how well we could make an educated guess on the size of the blocks.,0.1264401283848801,0.10204359763192782,0.1065666582266329,0.08077451004052776,0.07300841660887093,0.05846842456863601,0.12368016642460564
4,The purpose of the experiment is to see if random individuals can estimate percentages in the same pattern as previous years.,1.0,1.147252803978101e-308,2.754745747386075e-308,1.2308174877841123e-308,1.3145180270153537e-308,7.58441125177718e-309,1.3746217346500197e-308
5,To see whether participants could accurately measure ratio differences using 3D bar charts better or worse than 2D rendered charts knowing that visual depth plays a role.,6.6628367499288e-309,9.715257070195673e-309,7.35342038315578e-309,8.301486594101317e-309,1.566440092272459e-308,1.0,1.3073263676428603e-308
6,To do a statistical study on the different results students got from each bag and to see where students chose a different option or not.,1.0,1.553907210675785e-308,1.688509200800876e-308,1.319692470515339e-308,1.3192738105042035e-308,8.345067213130144e-309,1.437306130583878e-308
7,I believe the purpose of this experiment was to test whether or not having a physical model of the bar charts allow people to better estimate their size.,1.2828756224715083e-308,2.7779431929451485e-308,9.44688717107577e-309,1.0,1.15089384229786e-308,9.115682645261004e-309,9.270664120577084e-309
8,"I think the purpose of this experiment was to compare how people interpret different graphs in different ways with using 2D graphs along with 3D graphs and combining the results to see how the results differed. The purpose of this experiment was to also try and replicate the experiment that Cleaveland and McGill had done previously, but they had to tweak some things in the experiment.",0.05009768446555234,0.05218315330707422,0.05696520325655758,0.055432856639944066,0.40222282311748375,0.06544017266232771,0.07696520922316497
9,I think that the purpose of the experiment was to collect data of students from the same course over a period of time and see how results compare and differ.,0.6177643315447044,0.04649462164093695,0.13488548925143926,0.05028129882075635,0.06065070773148217,0.03535121169841368,0.054572339312267217
10,To see the difference in how people interpret an online graph versus a physical copy of one.,1.262269766601436e-308,1.0,8.13306150903098e-309,1.1840183592351123e-308,1.242863259187343e-308,1.0996261642902834e-308,9.830908806603464e-309
11,To determine is students in the introduction to stats class at UNL were better/preferred reading 3D printed graphs compared to digital 2D graphs.,0.06840788414107009,0.11934902441649188,0.0692855981790585,0.07857497449035783,0.18048368563328898,0.33754171736908445,0.13565241951573892
12,Probably to find an average on our ability to estimate sizing and percentages based on other things.,0.187016572172265,0.07219102977381006,0.1851241999638723,0.06555887801424105,0.07035724102704684,0.04477797826473833,0.13539241143686934
13,To gain a better understanding of how visual representation plays a role in understanding the data it presents.,0.16626025417804935,0.32460979136207124,0.08976832229219499,0.10824152302262317,0.128420764989423,0.08841077771325383,0.09428856644238472
14,The purpose was to understand if 2D graphs are easier to interpret than 3D graphs.,0.0903706056511056,0.1919950414867829,0.08053714654766923,0.09739616401814932,0.18333386488203424,0.20506773708643444,0.14059474407291472
15,To gauge depth perception of a physical object vs a object on the screen.,0.16406424475473477,0.1210662759046629,0.11617458081721574,0.0815993533215078,0.0888945482346554,0.06815095237563268,0.14439991344991232
16,It was likely to investigate how different types of graphs affect student observations by comparing students' comprehension across various graph formats.,1.1626747752650797e-308,1.0,7.87200796683346e-309,1.138637636621993e-308,1.327323285142885e-308,1.1009129031410746e-308,9.242768401568895e-309
17,To determine which model (2D or 3D) is easier to more accurately read and to see if the data was similar to the one they are recreating,0.16004969312965583,0.1258886511466513,0.11355842874563618,0.08306664173014824,0.0896803723160919,0.06980275246253703,0.14230332932760126
18,Determine students' of stats 218 understanding of statistics through an in person graphing experiment.,0.1600809397116254,0.3122610897839401,0.08814925501350064,0.13139308061944147,0.12948586573701498,0.08860193146993389,0.09002783766454343
19,The purpose is to see whether students can estimate the percentage of bar height when compared to others. We had limited tools. I used me own personal judgement or “gut feeling” to find percentages.,1.573831972491881e-308,1.0,1.0584821592876636e-308,2.656362591139831e-308,1.2161021922592304e-308,1.0781274462775747e-308,1.209411809452054e-308
20,I think the purpose of this experiment was to find if this study would help or not and if it was giving good information as well.,1.0,7.636100765349204e-309,2.98123338379773e-308,8.428557702304716e-309,1.039875087969683e-308,6.140554855662715e-309,1.024207237066129e-308
21,I believe the purpose of the experiment was to see how a person reading a bar graph can be influenced by neigboring numbers or stats.,0.057132904960198114,0.08913513305254983,0.03845701621743802,0.27582717575144355,0.05367654977765333,0.0385696186537818,0.03819856620031478
22,I think that the purpose of this was to look into the ability for college students estimate numerical ranges in correlation to its location on a graph with other various values.,0.04087174097039123,0.07900046729532241,0.028585661273495676,0.11159412161521186,0.047119436260244674,0.033811524949527584,0.031564718849094495
23,I think the purpose of the experiment was to see how well we can perceive things.,3.41995198796149e-308,8.57643901397821e-309,1.0,9.07112713685865e-309,1.3674262518255654e-308,7.024643643817643e-309,1.5899187404951653e-308
24,I think the purpose of this experiment was to determine the accuracy of 3D charts to 2D charts.,1.1651501526437593e-308,1.3135378150163565e-308,1.398138847205894e-308,1.258591725723587e-308,1.0,2.2118144697015345e-308,2.5340014972220854e-308
25,"I think the purpose of the experiment was to see how different versions of models affected how people analyzed those models, specifically how accurate they were when estimating the ratios of the bars.",1.246616832740877e-308,2.41457450773868e-308,9.11903433174479e-309,1.0,1.130673700701982e-308,8.8806546107335e-309,8.916965786459653e-309
26,To see how accurately people perceive heights.,0.09146676665874566,0.08664757290054843,0.08095059414305622,0.07563826387517368,0.05512437938526499,0.03984649790363167,0.08810655000156647
27,The purpose of the experiment was to determine if it 2-D or 3-D figures and charts are easier to identify by the human eye.,1.154225829017822e-308,1.287867558772223e-308,1.418961287511307e-308,1.2168046449834855e-308,1.0,2.2545273055350037e-308,2.7999299936596486e-308
28,I think it was to see if people could accurately guess the ration of the two bars in graphs.,1.3971219679329824e-308,1.0,9.37149710356286e-309,2.2990390019919477e-308,1.4225669553008655e-308,1.286052939267077e-308,1.1366796069190884e-308
29,To see the perception of different college students,1.0,1.456192656855175e-308,1.558447663316119e-308,1.21911496216898e-308,1.2393396220595453e-308,8.061459375852654e-309,1.3150181118446926e-308
30,I think the purpose of this experiment was to understand the difference between different shapes on a graph and compare which shape is bigger than the other. I think the purpose was to compare the results of hands-on visualization and online visualization.,0.0748375652364804,0.07690388996554783,0.07515609135502714,0.08899761734711652,0.23527602470523487,0.08036497806689315,0.08615505222699998
31,I think the purpose of the experiment was to test how students perceived heights based on the closeness/ separation of another given height,0.09164250156289712,0.07666733785493754,0.08931752693907825,0.07465739742843279,0.05619534568214866,0.03830389150218227,0.09099662389831042
32,To test the ability of students perception of estimating amounts,1.0,1.47551677695914e-308,1.881624314339147e-308,1.3242301797699826e-308,1.369691025992011e-308,8.325845196378517e-309,1.4952744211511805e-308
33,"To see how we compare the different shapes and sizes to each other, so like a null and alternative hypothesis.",0.295973291615108,0.09343495149022273,0.10345995522662803,0.07099430433989483,0.07079377415576077,0.047428078281346146,0.10226551374936102
34,I think the purpose was to evaluate how people see different quantities and estimate numbers.,0.4873697354217659,0.0689918959547785,0.0687898571162083,0.058971924735750005,0.06412303679671363,0.03748628346014211,0.05361344323346161
35,The purpose of the experiment was to determine the proportion of students who could correctly guess the difference in bar graph size based on if it was done online or in person with materials,0.06746715105200586,0.09607729870864211,0.043698774462880764,0.2378741300179884,0.06049443632047344,0.042575262275345985,0.04280991177604285
36,To determine which type of graph (2D or 3D) yielded a higher percentage of successful estimates by students.,0.0816900275803763,0.16081688593969073,0.0765844502201693,0.09189702784984836,0.1912919219570611,0.24804077413953163,0.13897421605841304
37,I think the purpose of the experiment was to gauge how students perceived bar graph values or just bar values when the values aren't given. There is variability between the physical graphs and the digital graphs as well.,0.047634279856290304,0.0812203473145339,0.03447058528325475,0.30367783280983723,0.05096844428224682,0.037549042093907116,0.0354764329733093
38,"I think the purpose of the experiment was to evaluate how easy different presentations of graphs are for people to read, to know which types are best to use when publishing studies.",0.11628971963823348,0.13209851154059524,0.08126546002565502,0.12891097027015974,0.15007568978055097,0.0834005187082117,0.08458814238743619
39,To see if participants could accurately/semi-accurately understand the graphs,1.3369905104458893e-308,1.0,8.415994271405346e-309,1.33154745881112e-308,1.2884521061800507e-308,1.118890284845578e-308,1.00973673326996e-308
