document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
0,Students can have a more accurate response to guessing the percentage looking at it in person than on the computer screen.,0.16628757256783558,0.13445575453558464,0.031663355131379155,0.16278932086839903,0.021009169403840705,0.032262786500522875
1,if we have a handheld model we may be able to tell the size of online models,1.0,1.0772821061098608e-307,3.3538097977292883e-308,2.8878182030545895e-308,1.9320233948597573e-308,3.7060506204638364e-308
2,If having different heights affected the way we chose how small or tall it was.,0.35033061128711374,0.14832426934497897,0.07370728687973092,0.04377296324148138,0.02943862429724098,0.07596779334504937
3,It might have been testing if boys or girls could tell the percentages of the blocks better than the other. It also could have been testing just how well in general can college students' eyes test the size differences of blocks.,2.0198806026234416e-307,7.966518698495821e-308,3.292216907928283e-308,3.1312684645771263e-308,2.46473056386055e-308,1.0
4,The hypothesis may have been “Do individuals estimate percentages the same as individuals from past years?”,1.0,1.0469858786374808e-307,2.9152033643025063e-308,7.364252012052185e-308,4.1555839169836175e-308,4.55312857195144e-308
5,"""Is there a statistical significant difference in ratio accuracy between using unlabeled 2D bar charts, or unlabeled 3D bar charts in a given population""",1.337222657508287e-307,1.0,2.5743643401829435e-308,2.746024048553398e-308,2.837261901708868e-308,1.905576927738322e-308
6,Whether students with certain block bags got more accurate scores than than other block bags.,1.9968730887063144e-307,7.97327486706932e-308,3.3239807083937664e-308,3.187312041697264e-308,2.4366798734959734e-308,1.0
7,"Ho: People will guess the size difference of bars on a bar chart the same using a physical model versus an online model.

Ha: People will more accurately guess the size difference of bars on a bar chart using a physical model over an online model.",0.05909922500743675,0.041145256686691965,0.011639879300750083,0.011514297311843176,0.016789054942684675,0.011159436200729919
8,A hypotheses the experimenter might have been testing is the 2D graphs will be better interpreted than the 3D graphs.,0.3718278632033911,0.3900791152801119,0.05231831829953278,0.06311771730184565,0.07709198551936493,0.04556500039575365
9,The hypotheses of the experimenter could be that the results of students in the first experiment performed more spread out results compared to the students in the last experiment.,1.0,7.311195026232338e-308,2.135685810177262e-308,3.1446646952846777e-308,5.253578001073797e-308,3.3021401583805165e-308
10,"If a 3-D printed graph is provided, then the guess of the difference in height between two points will significantly increase.",0.3495048700995463,0.2135489060677441,0.1376712931416367,0.06617061428788175,0.03783229704315629,0.07514339851432364
11,"If students complete this experiment, then the data will show that 2D graphs are preferred more often than 3D graphs by introduction to stats students at UNL because 2D is easier to read than 3D graphs.",0.12503077714963332,0.3053441163428684,0.027224729733943173,0.03280561851404353,0.020230326344126755,0.01926560333577114
12,That people currently in a stats class can better estimate proportions rather than someone not currently in a stats class.,2.276525269865284e-307,1.3965173880290924e-307,3.36809979499779e-308,1.0,2.811358359514658e-308,3.60744407912901e-308
13,If 3D models are easier to understand than 2D models.,0.21872903891886655,0.4425385575494825,0.042859741520530924,0.043846403618227246,0.030309214802175785,0.03093416735720581
14,2D objects might be easier to interpret than 3D because 2D is a lot more simplified.,0.2234108665642864,0.43617398035849364,0.043436900760834965,0.04379176049275658,0.030895570314855902,0.031508045275261506
15,Is it clear to understand the difference in size between something tangible or on a screen.,1.0,1.2265621788453194e-307,3.0766263530408367e-308,2.7681424369374907e-308,1.9243422350505263e-308,2.9520421273348277e-308
16,"Certain types of graphs [i.e. bar graphs, line graphs, etc.] may elicit more engagement from students, leading to more thorough observations.",1.5567104483869623e-307,1.0,3.9716143770179615e-308,5.862892004588996e-308,2.562854577709102e-308,2.6091215328626196e-308
17,"Null Hypothesis (H0): There is no significant difference in the accuracy of perceptual judgments between 2D graphs, 3D digital graphs, and 3D printed graphs.

Alternative Hypothesis (H1): There is a significant difference in the accuracy of perceptual judgments between 2D graphs, 3D digital graphs, and 3D printed graphs.",1.7443078185990754e-307,9.665373886730466e-308,1.939912898996673e-308,2.523148226591004e-308,1.0,2.314299969706574e-308
