document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
131,This mentioned the other researchers work way more along with more pictures. This was way more informational for me because the person was able to go more into detail with pictures that made more sense. There was also a lot more details on how this study differed from Mcgills study.,1.0169061806770873e-308,1.8064925814383615e-308,1.6506111069039324e-308,7.223845190831967e-308,2.512366523099921e-308,2.8187843085749873e-308,2.85543684513306e-308,1.7119843093635793e-308,6.132355479784859e-308,1.0,1.5242399897570995e-308
132,The experiment was more hands on and I didn't really know why I was doing the experiment and what knowledge I was gaining. After watching the presentation and reading the abstract I understood what I was doing and what my participation was helping. The abstract describes what experiment we were trying to conduct while the presentation gave us more inside details on the experiment.,1.062213393952189e-308,2.632800536877208e-308,3.4757109386665317e-308,6.247245328291415e-308,3.143103446631641e-308,7.526544263724521e-308,8.618878054977174e-308,2.682787161527318e-308,1.0,4.0427862772545375e-308,2.2363575872435104e-308
133,"I feel like I gained some information while performing the experiment with reading the slight background for it beforehand. The post-study reflection didn't necessarily allow me to gain information, it just made me reflect on the experiment and think about it. The extended abstract gave some more information than I had known previously, but the presentation clarified things further.",0.0179070374023679,0.08718984554411895,0.29414558206644453,0.06338182824831683,0.04176185996666393,0.06646102178666863,0.0789102204839208,0.0561277135441568,0.055177140986309076,0.03332458076872926,0.05541666619058128
134,I learned more about what the actually study is about. I also didn't know that it would be more accuarate with actual print outs and why they are worse. I also learned its not based on color.,0.02408371121559898,0.0795244070816397,0.06081851004928152,0.09998877172232085,0.0548454462526264,0.06876321984240617,0.06056829638513993,0.05022608385588355,0.0576786858947898,0.05142060277766519,0.05131290268345458
135,"Each part of the project gave me a different perspective. When I was participating, I was focused on just answering the questions and didn’t think much about how the charts were made or why. The post-study reflection helped me realize how my judgments were influenced by the format of the charts. The extended abstract explained the technical side—how the experiment was designed and what the researchers were testing. Finally, the presentation tied it all together and showed what the results could mean for using 3D charts in the real world.",0.29989879407786313,0.0677410438784164,0.05229746987973215,0.06830462678969544,0.046585880010055404,0.04944384021087598,0.051020359411967,0.04521428442613884,0.05098443125709757,0.05136572203554477,0.05048754823254976
136,They were all little segments to the study and were able to help me understand what the study was for. The participation and post study reflection were both good.,8.06926024599681e-309,2.724292476218347e-308,3.906730553085447e-308,2.070139156215838e-308,5.407066990083931e-308,4.060637873535384e-308,2.6659674432209497e-308,1.0,2.286063175583908e-308,1.8808066290007906e-308,4.00554034327664e-308
137,"As a participant I had a very brief understanding of the point of this study. Things we explained in simple terms, but I was still a little confused. 

The post study reflection gave me more time to understand the reasoning behind this study and process the information that was given to me. 

After reading the extended abstract the experiment made more sense, but the information presented was more complicated but filled with more information.

The presentation broke the information down and explained it the best. I understood what was being said and how the experiment work and was designed.",9.6324848054923e-309,5.240604986011691e-308,1.0,3.006543606797875e-308,2.4291613442510327e-308,3.6717700472166887e-308,4.248916578968898e-308,3.6859725414846237e-308,2.8266128655742624e-308,1.7905283192853413e-308,3.6712054089120836e-308
138,The reflection didnt help me very much because I was still confused on what the point of the experiment was. The abstract helped me better understand the details of the experiment like how the graphs were designed. The presentation helped me the most because it gave insight on why they chose to do this experiment and had good graphics to help me better understand.,0.021015622187484113,0.08247935194357417,0.080019786988577,0.1183241206455169,0.037815135931490246,0.05419985410126337,0.0769342752539547,0.04031110432201048,0.059824769510330486,0.03792693772203399,0.042608666104613856
139,"I think that the information presented here aligns very well with the abstract, I enjoyed the more personal presentation of the results that we see here vs the simple and dull presentation style we see in an abstract.",9.864094839434534e-309,3.5516071941269285e-308,3.9039823567394873e-308,4.049241926745409e-308,2.4115602876771254e-308,4.505189515580286e-308,1.0,2.5840254991164136e-308,5.073437637209108e-308,2.7528245841053324e-308,2.409501866787321e-308
140,It was very interesting to learn all the information behind the study. When I was doing the study I didn't really understand what was going on. I was also still confused after reading the abstract. Learning about all of the behind the scenes of the study in the presentation really helped better my understanding of the study.,1.0121031177813375e-308,3.83970991389877e-308,4.052918757386397e-308,4.654785531299509e-308,2.466011902141871e-308,4.359777809761037e-308,1.0,2.5986828230316936e-308,5.74176036024571e-308,2.7713458542028813e-308,2.531490354204244e-308
141,"Participation in the project provided hands on understanding of how different graph types affect data interpretation, especially the perceptual challenges posed by 3D visualizations. The post-study reflection allowed me to critically evaluate those experiences and consider the pratical implications of visual design choices.",0.39222924321308233,0.05505102352229857,0.04306624652540279,0.0559176926518342,0.03871713552088667,0.04109325950532617,0.04256901374472332,0.03748886961049202,0.04257997946774036,0.04302037584861802,0.04161116059953212
142,"The information grew more in depth throughout the process. When participating in the actual experiment I was given minimal information and then I reflected on it. After that I watched videos, got more information, and reflected again.",1.1298143983849495e-308,2.3112342085582406e-308,2.0009277602200305e-308,1.0,3.2630372100188673e-308,4.225973354636163e-308,3.2117590755664026e-308,2.077371449005222e-308,5.876533376135697e-308,8.786313403320078e-308,1.900959154119756e-308
143,"*

Participation gave firsthand experience with the study process, making the design and data collection feel more personal and concrete.

*

Post-study reflection encouraged deeper thinking about what worked, what didn’t, and how the study could be improved.

*

The extended abstract provided a concise, formal summary of the study’s goals, methods, and results, useful for evaluating its scientific quality.

*

The presentation highlighted main findings and broader implications in a more visual and accessible way, making the research easier to understand.",9.02156366743527e-309,4.0034471038219263e-308,3.1033172377964857e-308,1.759688198279216e-308,2.158246872264618e-308,2.087092585065287e-308,2.101266245969286e-308,5.631092637041703e-308,1.6801833972270793e-308,1.459108953057376e-308,1.0
144,The participation part of the study was very hands-on on and I got to use a lot of my reasoning skills to develop answers. The post-study reflection and extended abstract allowed me to reflect on the participation sector. The presentation allowed me to collaborate on the experimental learning as a whole.,0.013720562701589549,0.06911519662337802,0.11745741885515307,0.04395389765120357,0.04992516630280874,0.07391169714292854,0.0533861245549896,0.08264434567322165,0.04280690206944471,0.03114982737148409,0.08691076756084
